,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
1299,"28.90,78.69",0,zigzag,28.90305406485133,78.6928277950287,uttar_pradesh,24111919.16426667,13961146.067768889,0.0710292,0.0737632,24111879.38791467,13961104.76037689,24111958.940618668,13961187.375160888,783.7932480000001,193.535328,863.345952,276.15011200000004,28.90277249868469,78.69866381187437,0.5700405394840015
1300,"26.42,82.95",0,fcbk,26.419268349535315,82.9556938980102,uttar_pradesh,24509247.08309333,14222556.786869776,0.0423652,0.0604854,24509223.35858133,14222522.915045775,24509270.80760533,14222590.658693776,1066.985248,602.275856,1114.4342720000002,670.0195039999999,26.429469427983857,82.96322369594576,1.3570602006453838
1301,"28.80,77.38",0,zigzag,28.80482552817261,77.37616635684967,uttar_pradesh,23989197.423448887,13971599.383063892,0.0761891,0.0586002,23989154.75755289,13971566.566951891,23989240.089344885,13971632.199175892,160.012664,13.913536,245.344456,79.54576,28.805243711896946,77.37502570030207,0.12061299677759431
1302,"28.80,77.38",1,zigzag,28.798416260803844,77.37648243350982,uttar_pradesh,23989226.883928888,13972281.103655891,0.0835416,0.0606595,23989180.100632887,13972247.134335892,23989273.667224888,13972315.07297589,185.355744,694.48092,278.92233600000003,762.41956,28.80482552817261,77.37616635684967,0.7110249882822492
1303,"25.94,83.50",0,zigzag,25.94295729541941,83.50443854351047,uttar_pradesh,24560393.79112889,14272027.933128633,0.0308516,0.058699,24560376.514232893,14271995.061688632,24560411.06802489,14272060.804568632,956.425344,220.6036,990.979136,286.34648000000004,25.95495590903277,83.51517256828308,1.7096561896415703
1304,"27.34,82.59",0,fcbk,27.34117234472379,82.58554421310423,uttar_pradesh,24474746.631893333,14126218.7292883,0.0538118,0.09209,24474716.497285333,14126167.1588883,24474776.766501334,14126270.299688298,114.555952,385.41776,174.82516800000002,488.55856,27.33908150591089,82.63074297962191,4.478619085356212
1305,"27.53,79.22",0,zigzag,27.52484396925036,79.22476359634396,uttar_pradesh,24161499.17447111,14106930.300188228,0.0500194,0.0322708,24161471.16360711,14106912.228540229,24161527.18533511,14106948.371836226,975.988496,1083.857152,1032.010224,1120.000448,27.52461165600664,79.22477940979005,0.025790413399961524
1306,"25.52,83.38",0,zigzag,25.517716366771456,83.38296170463559,uttar_pradesh,24549071.329102226,14316025.912913144,0.0336155,0.079172,24549052.50442222,14315981.576593144,24549090.153782222,14316070.249233143,817.2262,751.52336,854.87556,840.196,25.510081802519117,83.3656603145599,1.9339792982223822
1307,"28.22,80.20",0,fcbk,28.224930959258657,80.20089376010895,uttar_pradesh,24252481.10003556,14033111.705709117,0.0936375,0.0629567,24252428.66303556,14033076.449957116,24252533.537035555,14033146.961461116,590.86748,3.1357199999999965,695.74148,73.647224,28.270653851079675,80.2516113372803,7.102738317337811
1308,"26.20,82.74",0,zigzag,26.20143146971618,82.73657447834015,uttar_pradesh,24488823.672906667,14245207.102043595,0.0485273,0.0642074,24488796.497618668,14245171.145899598,24488850.848194662,14245243.058187596,213.542952,375.342576,267.893528,447.254864,26.230152715966945,82.7428187347412,3.242672929424091
