,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
2269,"22.90,86.47",0,fcbk,22.899018121928965,86.47354598503114,west_bengal,24837134.66264889,14583672.93355647,0.0262958,0.0620127,24837119.93700089,14583638.206444468,24837149.38829689,14583707.66066847,875.7841119999999,624.6202480000001,905.235408,694.0744719999999,22.902728295922305,86.47727692699438,0.561552895817795
2270,"24.47,88.05",0,zigzag,24.47153670080433,88.05567274932855,west_bengal,24984599.565226663,14423614.85056426,0.0557242,0.0463916,24984568.359674662,14423588.87126826,24984630.770778663,14423640.82986026,1057.533008,376.653984,1119.944112,428.612576,24.46084774541371,88.10387096576689,5.027814455527291
2271,"24.08,87.76",0,fcbk,24.0750363226385,87.75770194339755,west_bengal,24956826.67315556,14464155.458933512,0.061829,0.0381298,24956792.04891556,14464134.106245512,24956861.29739556,14464176.811621511,311.18136,1045.384592,380.42984,1088.089968,24.08021827083381,87.7483046087265,1.1147328003930395
2272,"22.72,88.59",1,zigzag,22.72301066788024,88.59111510028843,west_bengal,25034506.40954667,14601469.95531843,0.0303582,0.055967,25034489.40895467,14601438.61379843,25034523.41013867,14601501.29683843,646.9342879999999,224.434,680.935472,287.11704,22.72114628921611,88.59182124996187,0.21883544694144497
2273,"22.72,88.59",2,zigzag,22.72114628921611,88.59182124996187,west_bengal,25034572.22746667,14601658.34939843,0.0566856,0.042425,25034540.48353067,14601634.591398433,25034603.971402667,14601682.10739843,698.0088639999999,420.4116,761.4967359999999,467.9276,22.72301066788024,88.59111510028843,0.21883544694144497
2274,"23.73,87.40",0,fcbk,23.730812570778745,87.39904608631136,west_bengal,24923397.52435556,14499249.397403032,0.0346566,0.0609964,24923378.11665956,14499215.239419032,24923416.93205156,14499283.555387031,451.681104,443.109856,490.496496,511.425824,23.71677921986939,87.38553134155276,2.0772037170856996
2275,"24.17,88.22",0,zigzag,24.17366955317772,88.21897994861602,west_bengal,24999820.899431117,14454082.398236925,0.0646824,0.0524521,24999784.677287117,14454053.025060926,24999857.121575117,14454111.771412924,428.702176,155.729224,501.146464,214.475576,24.17791777936347,88.21364380970005,0.7179199226904818
2276,"25.02,88.16",0,zigzag,25.02024789165851,88.16256128559115,west_bengal,24994562.29889778,14367299.745593708,0.0682243,0.0388137,24994524.09328978,14367278.009921707,24994600.50450578,14367321.481265709,760.523512,512.7664080000001,836.934728,556.237752,25.02863864695065,88.16416263732908,0.9434189368691955
2277,"22.66,88.93",1,fcbk,22.663218675591025,88.92638719234468,west_bengal,25065756.03347556,14607510.614148015,0.0848814,0.0721223,25065708.49989156,14607470.225660017,25065803.56705956,14607551.002636015,175.72833599999998,194.51023200000003,270.795504,275.287208,22.66428432844674,88.92551514358526,0.148185186409938
2278,"22.66,88.93",2,fcbk,22.659551360511223,88.9270784538269,west_bengal,25065820.46371556,14607881.029508015,0.0881015,0.0388378,25065771.12687556,14607859.280340016,25065869.80055556,14607902.778676014,238.35532,583.564912,337.029,627.063248,22.663218675591025,88.92638719234468,0.4122833875668064
2279,"24.01,88.56",0,zigzag,24.00753837963918,88.55830750465391,west_bengal,25031448.52,14471044.317555722,0.0465007,0.0598553,25031422.479608,14471010.798587725,25031474.560392,14471077.83652372,376.2076080000001,777.651112,428.288392,844.689048,24.004691947044567,88.57119255733487,1.3483890639165357
2280,"23.94,88.45",0,zigzag,23.936205189329694,88.44690055255889,west_bengal,25021064.63944889,14478320.675441872,0.0584559,0.0306198,25021031.904144887,14478303.528353872,25021097.37475289,14478337.822529873,238.375256,929.842032,303.84586399999995,964.136208,23.939344439235025,88.43995372524263,0.7880428440086023
2281,"23.76,87.26",1,fcbk,23.76145014104607,87.26358188972476,west_bengal,24910771.346097782,14496129.646581557,0.069596,0.0435298,24910732.37233778,14496105.269893557,24910810.319857784,14496154.023269556,854.88256,387.942352,932.83008,436.695728,23.757723257619062,87.26678630161284,0.5263879102035535
2282,"23.76,87.26",2,fcbk,23.763750011945877,87.2576601747513,west_bengal,24910219.40225778,14495895.426581556,0.0393605,0.0646654,24910197.36037778,14495859.213957556,24910241.44413778,14495931.639205556,319.8706,141.886416,363.95436000000007,214.311664,23.76071031356421,87.25478708820343,0.4462255671496523
2283,"22.18,88.56",0,fcbk,22.176208527533124,88.56040995998383,west_bengal,25031644.48304,14656614.99434423,0.0266922,0.0692676,25031629.535408,14656576.20448823,25031659.430672,14656653.78420023,583.2634079999999,902.835584,613.158672,980.415296,22.179060044561563,88.56058437652588,0.3162680775383029
2284,"22.18,88.56",1,fcbk,22.179060044561563,88.56058437652588,west_bengal,25031660.73984,14656327.979784232,0.0312161,0.0607978,25031643.258824,14656293.933016231,25031678.220856,14656362.026552232,596.9868240000001,620.564112,631.948856,688.6576480000001,22.176208527533124,88.56040995998383,0.3162680775383029
2285,"22.52,88.78",2,zigzag,22.517256673270005,88.77768495235438,west_bengal,25051895.980142217,14622245.811762264,0.061729,0.0617149,25051861.41190221,14622211.251418265,25051930.54838222,14622280.372106263,309.65367999999995,802.240936,378.79016,871.361624,22.52095909255652,88.7852567712784,0.8803096792125978
2286,"22.60,88.60",1,zigzag,22.59510812679304,88.59897031154631,west_bengal,25035238.56830222,14614388.473412177,0.0588296,0.045534,25035205.623726223,14614362.974372176,25035271.51287822,14614413.972452177,431.081504,1028.3728,496.970656,1079.37088,22.595219918011157,88.59760723094936,0.14070539719150368
2287,"23.62,88.49",0,zigzag,23.623946102722105,88.4917195800781,west_bengal,25025242.07559111,14510125.623704707,0.0342228,0.101459,25025222.91082311,14510068.806664707,25025261.24035911,14510182.440744707,701.111712,101.74248,739.441248,215.37656,23.62728169835584,88.48757527961732,0.5615347188298704
2288,"22.33,87.96",0,zigzag,22.33314985798732,87.9579212287903,west_bengal,24975488.463146668,14640809.649179818,0.0600502,0.0280534,24975454.83503467,14640793.939275818,24975522.091258667,14640825.359083818,332.6163680000001,226.897776,399.872592,258.317584,22.339727752304217,87.96142886981966,0.8131054651650602
